식품명,1회제공량,내용량_단위,총내용량(g),총내용량(mL),에너지,단백질,지방,탄수화물,총당류,나트륨,콜레스테롤,총포화지방산,트랜스지방산,카페인
꿩불고기,500,g,0,0,368.8,33.5,8.5,39.7,16.9,1264.31,106.18,1.9,0.1,0
닭갈비,400,g,0,0,595.61,45.9,25.8,44.9,21.2,1535.83,193.4,6,0.2,0
닭갈비,300,g,0,0,558.47,45.5,31.6,23.1,8.5,1016.94,217.67,11.3,0.3,0
닭꼬치,70,g,0,0,176.72,11.56,8.57,13.35,3.15,286.91,31.44,2.32,0.04,0
더덕구이,100,g,0,0,184,3.1,5.2,31.1,11.6,743.37,0.12,0.8,0,0
돼지갈비,100,g,0,0,240.32,19.5,14.4,8.1,4.5,404.66,49.34,4.7,0.1,0
불고기,150,g,0,0,395.29,34.4,25.2,7.8,7.9,560.71,68.85,6.6,0.4,0
붕장어소금구이,100,g,0,0,296.54,26,16.2,11.6,0.4,124.75,167.07,3.6,0.2,0
소양념갈비구이,300,g,0,0,989.15,60.1,71.6,26.2,13.9,1378.45,186.63,27.2,3.5,0
양념왕갈비,150,g,0,0,480.81,27.1,35.3,13.7,6.8,548.76,58.52,13,2.2,0
양념장어구이,150,g,0,0,433.35,30.77,30.56,8.8,4.18,704.64,215.24,7.1,0.27,0
임연수구이,250,g,0,0,494,53.8,29.4,3.5,0,1568.96,212.61,6.1,1.7,0
햄버그스테이크,200,g,0,0,457.7,26.96,29.65,20.76,5.33,950.22,70.28,9.41,0.31,0
황태구이,200,g,0,0,437.57,47.8,15.4,26.9,14.2,1135.33,211.58,2.4,0.1,0
훈제오리,250,g,0,0,797.14,43.06,64.07,12.08,0.27,1220.37,171,15.98,0.39,0
게국지,1100,g,0,0,415.25,44.9,12.1,31.7,10.8,4047.26,388.15,2,0.2,0
곰치국,1000,g,0,0,419.29,54.3,11.8,23.9,2.8,3802.06,476.47,1.4,0.1,0
굴국밥,650,g,0,0,683,42.4,17.8,88.4,0.3,1635.39,518.37,3.9,0.1,0
김치국,450,g,0,0,89,5.4,2.8,10.5,2.9,1642.08,0,0.3,0,0
떡만둣국,700,g,0,0,624.92,20.06,11.32,110.71,0.16,1980.19,122.42,3.44,0.08,0
만둣국,700,g,0,0,434.05,21.43,17.44,47.83,3.05,2367.99,94.52,4.24,0.05,0
맑은감자국,700,g,0,0,221,8.3,5.5,34.6,5.2,1712.29,5.46,0.2,0,0
매생이국,500,g,0,0,119,10,2.8,13.4,0.4,1420.3,6.62,0.6,0.1,0
무된장국,450,g,0,0,104,6.1,2.4,14.7,5.9,1741.46,0,0.3,0,0
미소된장국,150,g,0,0,38,2.8,1.8,2.8,0.7,517.03,0,0.2,0,0
바지락조개국,550,g,0,0,157,22,3.1,10.1,1.3,1596.17,89.36,0.6,0,0
뼈다귀해장국,1000,g,0,0,714,74.6,35.7,23.4,5.7,3088.21,321.72,14.3,0.1,0
선지해장국,1000,g,0,0,312,49.3,5.4,16.7,3.9,3074.53,230.52,2.7,0.1,0
소고기무국,400,g,0,0,123,14.2,4,7.8,3.5,1067.02,38.43,1.3,0.1,0
시래기된장국,450,g,0,0,99,6.7,3.1,11,1.3,1523.66,0,0.3,0,0
올갱이국,600,g,0,0,144.26,13.7,4.2,13,1.6,2017.16,85.36,0.8,0,0
우거지해장국,600,g,0,0,154.38,11.9,5.9,13.5,2.5,2049.59,22.37,1.2,0,0
우렁된장국,500,g,0,0,245,24.6,7.7,19.2,3.6,2134.21,105.38,1.1,0,0
홍합미역국,650,g,0,0,167,19.7,4.7,11.6,0,2043.68,58.4,0.9,0,0
황태해장국,600,g,0,0,181.7,24.5,6.8,5.7,1.5,1533.09,150.3,1.1,0,0
고추잡채,200,g,0,0,256.77,10.99,12.01,26.17,2.09,828.55,39.26,2.11,0.08,0
난자완스,200,g,0,0,346.25,21.63,20.35,19.15,0.49,703.23,76.76,4.59,0.23,0
도토리묵말이,1300,g,0,0,462.39,6.8,8.5,89.7,6.3,3206.03,0,1.2,0,0
라조기,200,g,0,0,398.99,20.66,23.49,26.23,0.15,648.52,90.58,5.15,0.15,0
물회,700,g,0,0,529.36,34.4,18.9,55.3,20,2095.9,120.26,2.8,0.1,0
생선물회,800,g,0,0,577.97,34.3,12.3,82.5,52,2779.74,101.88,2,0,0
소고기샤브샤브,600,g,0,0,263.75,29.1,9.8,14.7,2.4,1122.4,76.02,3.7,0.3,0
오징어순대,350,g,0,0,466.86,45.7,5.6,58.3,0.4,1258.71,517.44,1.4,0,0
초당순두부,900,g,0,0,522.69,49.1,29.2,15.8,0.9,1203.36,0,3.8,0,0
해파리냉채,150,g,0,0,91,6.2,1.4,13.4,11.4,508.77,40.33,0.3,0,0
고들빼기,50,g,0,0,55.53,1.58,0.61,10.93,2.84,742.43,2.98,0.07,0,0
열무얼갈이김치,50,g,0,0,17.68,1.07,0.33,2.61,0.46,339.9,1.03,0.04,0,0
미나리나물,50,g,0,0,29.53,1.02,1.83,2.24,0,150.33,0,0.25,0.01,0
취나물,50,g,0,0,74.1,1.37,6.15,3.31,0,281.86,0,0.84,0.03,0
경단(깨),100,g,0,0,319.47,4.44,0.54,74.22,26.64,180,0,0.46,0,0
경단(콩),100,g,0,0,314.32,3.51,0.46,74.03,20.55,225.83,0,0.19,0,0
기피편,100,g,0,0,219.97,5.45,0.25,48.99,2.08,281.06,0,0.13,0,0
녹두시루떡,100,g,0,0,246.07,7.74,2.53,48.08,4.05,263.66,0,0.52,0,0
메밀전병,100,g,0,0,167.83,6.18,6.29,21.62,0.62,345.8,8.05,1.19,0.04,0
무지개떡,100,g,0,0,228.97,3.53,0.31,53.01,8.99,276.82,0,0.16,0,0
송편(깨),100,g,0,0,224.15,4.92,2.74,44.96,1.15,231.82,0,0.48,0,0
송편(콩),100,g,0,0,194.33,5.24,0.75,41.66,1.26,233.5,0,0.24,0,0
수수부꾸미,100,g,0,0,247.89,5.73,6.29,42.1,0.24,261,0,0.97,0.03,0
수수팥떡,100,g,0,0,204.24,6.7,0.59,43.03,2.82,241.93,0,0.16,0,0
시루떡,100,g,0,0,217.48,5.47,0.61,47.54,3.22,277.91,0,0.24,0,0
쑥떡,100,g,0,0,248.63,3.36,0.4,57.89,10.72,254.32,0,0.2,0,0
절편,100,g,0,0,192.89,3.64,0.28,43.94,0.07,265.87,0.03,0.19,0,0
찹쌀떡,100,g,0,0,276.87,3.26,0.15,65.61,17.54,225.61,0,0.15,0,0
간자장,650,g,0,0,824.54,22.33,22.03,134.22,12.16,2716.2,28.73,9.71,0.24,0
굴짬뽕,900,g,0,0,680.67,32.87,9.6,115.69,1.7,2662.35,163.31,1.41,0.04,0
기스면,1000,g,0,0,606.93,37.82,10.72,89.79,0.5,2764.59,416.54,2.12,0,0
김치라면,650,g,0,0,552,13.8,16.9,86.2,1.2,2531.6,45.65,6.8,0.1,0
김치우동,800,g,0,0,500.18,15.55,4.6,99.14,2.13,2874.6,14.13,0.83,0,0
냉김치말이국수,600,g,0,0,302.53,12.9,4.8,52,8.3,2121.62,88.95,1.1,0,0
닭칼국수,900,g,0,0,663,42.2,12.8,94.7,5.3,2125.17,95.67,2.5,0,0
둘깨칼국수,600,g,0,0,457.88,17.6,16.5,59.8,1.4,1192.57,3.36,1.5,0,0
막국수,1000,g,0,0,571.59,20,5.8,109.8,9.4,3260.05,43.17,1,0,0
삼선우동,1000,g,0,0,691.66,47.94,8.48,105.9,0.8,2722.32,620.9,2.02,0,0
삼선자장면,700,g,0,0,803.9,33.64,18.14,126.53,10.15,2628.24,166.56,4.06,0.09,0
삼선짬뽕,900,g,0,0,662.37,39.63,10.77,101.73,1.09,2689.13,312.48,1.91,0.02,0
쌀국수,600,g,0,0,320.32,15.6,4.2,55.1,4.3,1651.58,33.6,1.4,0.1,0
열무김치국수,800,g,0,0,431,15,10.2,69.6,18.6,3007.45,15.37,0.6,0.1,0
열무냉면,800,g,0,0,525.49,20.84,5.78,97.52,27.15,3152.37,67.78,1.36,0,0
오일소스스파게티,400,g,0,0,646.74,19.56,23.43,89.42,1.41,1124.33,31.62,3.89,0.05,0
올갱이국수,1500,g,0,0,566,11.2,8.3,111.6,18.6,3862.84,0,1.5,0,0
우동(일식),700,g,0,0,421.51,13.39,7.91,74.2,2.48,2390.32,25.98,1.49,0.01,0
우동(중식),1000,g,0,0,648.47,29.45,21.02,85.37,1.1,3395.86,208.42,3.35,0.03,0
울면,1000,g,0,0,728.86,37.46,7.37,128.18,0.5,2799.92,445.79,1.85,0.01,0
자장면,650,g,0,0,796.5,19.77,20.32,133.63,7.8,2391.58,10.76,8.52,0.17,0
짬뽕라면,750,g,0,0,689,21.3,26.3,92,1.6,2493.81,106.69,8.6,0.1,0
치즈라면,600,g,0,0,595,16.8,23,80,0.9,2113.4,103.67,9.4,0.2,0
크림소스스파게티,400,g,0,0,837.57,21.79,50.59,73.76,9.17,1030.21,126.58,25.67,1.01,0
토마토소스스파게티,500,g,0,0,642.58,24.35,19.15,93.2,15.6,1508.63,49.17,5.44,0.21,0
해물칼국수,900,g,0,0,628.26,22.8,4.61,123.9,3.81,2355.07,26.7,1.3,0.01,0
해물크림소스스파게티,500,g,0,0,917.57,30.39,49.79,86.97,8.36,1323.7,210.89,24.73,0.94,0
해물토마토소스스파게티,500,g,0,0,584.44,27.97,13.73,87.24,13.48,1533.16,159.64,3.14,0.07,0
골뱅이무침,100,g,0,0,108.79,7.08,1.97,15.69,10.46,525.52,38.35,0.26,0.02,0
노각무침,150,g,0,0,84,2.6,1.8,14.3,7.1,817.37,0,0.2,0,0
단무지무침,50,g,0,0,20,0.5,0.8,2.8,0.7,428.92,0,0.1,0,0
달래나물무침,150,g,0,0,136,4,2.8,23.8,11.2,867.04,0,0.3,0,0
더덕무침,150,g,0,0,216,4.3,2.8,43.4,20.2,1246.58,0.17,0.4,0,0
도토리묵,100,g,0,0,45.6,0.29,0.32,10.38,0.43,124.15,0,0.03,0,0
밴댕이무침,400,g,0,0,600.01,29.8,33,46,27,1027.23,101.51,4.6,0.2,0
서대회무침,300,g,0,0,315.21,22.6,4.6,45.9,22.3,1198.9,67.71,0.5,0,0
쑥갓나물무침,150,g,0,0,96,4.5,5.7,6.6,0.3,709.99,0.05,0.7,0,0
쥐치채,20,g,0,0,55.92,2.75,0.15,10.89,4.55,296.34,8.57,0.19,0.01,0
청포묵무침,250,g,0,0,149,2.9,5.2,22.7,1.8,724.02,0,0.8,0,0
탕평채,100,g,0,0,97.5,3.55,3.81,12.26,0.39,260.4,47.24,0.73,0.03,0
홍어무침,200,g,0,0,198.94,17.85,2.63,25.95,14.46,802.04,57.03,0.36,0,0
고추장불고기 삼각김밥,100,g,0,0,165.29,3.66,1.58,34.11,0.21,342.92,3.51,0.45,0.01,0
곤드레나물밥,350,g,0,0,521.83,10.3,9.5,98.9,0,90.62,0,0.9,0,0
국밥,800,g,0,0,418.35,27.6,8.2,58.6,0.4,2301.55,47.81,2.7,0.2,0
농어초밥,250,g,0,0,396.74,17.43,1.34,78.75,13.01,1035.04,26.5,0.65,0.02,0
돼지국밥,1200,g,0,0,911.4,66.4,38.6,74.7,0,1096.58,142.55,8.4,0.2,0
류산슬덮밥,550,g,0,0,574.99,26.96,19.04,73.95,0.42,1579.35,120.87,3.39,0.11,0
멍게비빔밥,400,g,0,0,547.21,16.6,13.1,90.7,16.7,1144.8,21.9,2.4,0.1,0
멸치주먹밥,150,g,0,0,312,9,6.6,54.3,0.9,496.21,42.45,1.1,0,0
묵밥,950,g,0,0,642.16,14.8,7.7,128.6,15.1,2075.5,42.65,1.5,0,0
문어초밥,250,g,0,0,392.23,14.61,0.74,81.78,13.38,1200.86,70.08,0.35,0,0
비빔밥,450,g,0,0,691.62,24.6,22,98.7,18.3,1119.66,95.42,3.9,0.1,0
삼선볶음밥,400,g,0,0,686.11,26.24,26.46,85.75,1.58,1213.56,326.52,6.33,0.15,0
새우초밥,250,g,0,0,387.67,16.8,0.75,78.42,11.65,1110.29,72.65,0.55,0.01,0
새우튀김롤,300,g,0,0,606.5,14.47,18.17,96.28,11.14,1391.43,55.87,3.41,0.12,0
샐러드김밥,250,g,0,0,405.95,9.62,13.52,61.45,3.42,911.18,84.58,2.79,0.06,0
생선초밥(광어),300,g,0,0,453.78,27.07,3.92,77.55,7.7,808.75,46.74,1.06,0.02,0
생선초밥(모듬),300,g,0,0,461.97,25.42,6.06,76.43,8.65,968.94,70.87,1.51,0.04,0
소고기국밥,700,g,0,0,330.53,21.8,8.1,42.6,2.8,1786.31,41.85,2.3,0.1,0
소고기김밥,250,g,0,0,400.61,15.98,9.63,62.52,0.84,1061.19,93.09,2.53,0.11,0
송이덮밥,600,g,0,0,581.81,18.21,14.06,95.6,2.27,1678.01,48.2,2.79,0.1,0
숯불갈비 삼각김밥,100,g,0,0,161.24,4,1.67,32.55,0.16,358.36,4.04,0.53,0.02,0
약초비빔밥,400,g,0,0,511.8,11.9,15.9,80.2,2.9,971.61,0,2.4,0.1,0
연어롤,300,g,0,0,510.19,18.57,15.4,74.32,8.47,1211.9,61.97,2.83,0.1,0
연어초밥,250,g,0,0,447.32,18.88,9.74,71.04,12.88,1064.38,32.05,1.84,0.06,0
오곡밥,250,g,0,0,388.82,11.95,1.3,82.32,0.17,113.9,0,0.42,0,0
자장밥,500,g,0,0,741.66,15.24,22.28,120.06,5.37,1560.38,26.43,8.56,0.16,0
잡탕밥,750,g,0,0,777.44,44.12,20.13,104.94,0.48,2109.52,329.85,4.07,0.12,0
장어덮밥,400,g,0,0,716.54,30.09,22.98,97.35,5.59,920.77,234.56,5.18,0.23,0
장어초밥,250,g,0,0,486.26,16.52,10.83,80.68,13.67,1270.91,102.77,2.91,0.1,0
참치덮밥,500,g,0,0,679.1,29.2,16.73,102.93,2.98,1618.74,115.79,3.41,0.09,0
참치마요네즈 삼각김밥,100,g,0,0,172.4,3.94,3.2,31.95,0.02,282.1,4.41,0.6,0.01,0
충무김밥,400,g,0,0,583.93,23.42,5.96,109.16,17.19,1294.27,156.85,1.1,0.03,0
